Designator,Mid X,Mid Y,Rotation,Layer
D1,115.915,-46.4975,270.0,bottom
D10,134.915,-84.4975,270.0,bottom
D11,153.915,-84.4975,270.0,bottom
D12,172.915,-84.4975,270.0,bottom
D13,90.915,-82.4975,180.0,bottom
D2,134.915,-46.4975,270.0,bottom
D3,153.915,-46.4975,270.0,bottom
D4,172.915,-46.4975,270.0,bottom
D5,115.915,-65.4975,270.0,bottom
D6,134.915,-65.4975,270.0,bottom
D7,153.915,-65.4975,270.0,bottom
D8,172.915,-65.4975,270.0,bottom
D9,115.915,-84.4975,270.0,bottom
J1,61.415,-23.3775,0.0,top
LED0,106.44,-57.785,0.0,top
LED1,125.49,-57.785,0.0,top
LED10,144.54,-95.885,0.0,top
LED11,163.59,-95.885,0.0,top
LED12,87.39,-95.885,0.0,top
LED13,83.415,-77.4975,0.0,top
LED14,91.415,-77.4975,0.0,top
LED2,146.92125,-57.785,0.0,top
LED3,163.59,-57.785,0.0,top
LED4,106.44,-76.835,0.0,top
LED5,125.49,-76.835,0.0,top
LED6,144.54,-76.835,0.0,top
LED7,163.59,-76.835,0.0,top
LED8,106.44,-95.885,0.0,top
LED9,125.49,-95.885,0.0,top
S1,106.44,-53.0225,0.0,top
S10,125.49,-91.1225,0.0,top
S11,144.54,-91.1225,0.0,top
S12,163.59,-91.1225,0.0,top
S13,87.39,-91.1225,0.0,top
S2,125.49,-53.0225,0.0,top
S3,144.54,-53.0225,0.0,top
S4,163.59,-53.0225,0.0,top
S5,106.44,-72.0725,0.0,top
S6,125.49,-72.0725,0.0,top
S7,144.54,-72.0725,0.0,top
S8,163.59,-72.0725,0.0,top
S9,106.44,-91.1225,0.0,top
SW1,118.515,-30.3975,0.0,top
SW2,137.365,-30.3975,0.0,top
SW3,102.915,-33.9975,0.0,top
U1,80.88125,-47.46625,0.0,top
